company0,job_title0,descrip0,company1,job_title1,descrip1,company2,job_title2,descrip2,company3,job_title3,descrip3,company4,job_title4,descrip4,school,degree,school_score,skill_score
Google,Software Engineer,Cloud infrastructure ,Terminal.com,Software Engineer,Software Engineer at Amazon Web Services March 2014   May 2015  1 year 3 months ,Amazon Web Services,Software Engineer,On AWS Billing Infrastructure I ve been helping engineer and maintain the systems that make sure every AWS customer is fairly charged It s been a fun experience working with this level of impact ,Microsoft,Software Engineer,Microsoft Commerce Platform  Created an idempotent batch driven multithreaded differential update index publisher for Microsoft Partner marketplaces reducing the publish time by 30  Introduced operational metrics reporting infrastructure in an asynchronous workflow backed seller application publishing pipeline for internal metrics reporting and recovery  Enabled the OAuth flow for secure delegated access to third party applications to user resources in properties such as Sharepoint Azure Office  Worked on internationalization of the frontend by enabling seller registration and app upload support in 6 different languages ,University of Illinois at Urbana-Champaign,Teaching Assistant,,University of Illinois at Urbana Champaign,Masters,2,
Amazon,Software Development Engineer,International Payment Expansion Services , Services Engineer at Workday,Big ,Developing analytical tools and services to integrate with customers data in providing useful trend logs usage statistics and risk management ,USANA Health Sciences,Web Services Engineer,Initiated and directed live customer data migration widely used within company ,Scientific Computing and Imaging Institute,Research Development Engineer,Rendered a large data visualization that took over 40 seconds to render initially and added GPU acceleration to render almost instantly  ,Disney Interactive Studios,Infrastructure Engineer,Increased CPU performance and calibration time using bit manipulation  ,University of Utah,Master's degree,1,
Google,Software Engineer,Software Development Engineer at Amazon August 2014   October 2015  1 year 3 months ,Amazon,Software Development Engineer,Software designer and developer at FANAP July 2006   July 2009  3 years 1 month ,FANAP,Software designer and developer,Participated in the design and development of the core banking system of Pasargad Bank of Iran Participated in the security planning and database migration Technologies used J2EE Hibernate JavaScript JSP CSS JUnit CVS Oracle Tomcat UML ,0,0,0,0,0,0,Carleton University,Doctor of Philosophy (PhD),1,
Airbnb,Software Engineer,People don t take trips  trips take people ,Zenefits,Full Stack Software Engineer, Collaborate with colleagues and build Internal Platform to support various type of life and disability insurance which enables the service of 100 000 customers increasing millions revenue for Zenefits  Utilize extensive software engineering skills to design and implement a new overview page for the Life and Disability Insurance team with more than 100 000 customer employees using the tool to manage their insurance  Design and implement insurance plan loading tools for the operation team which reduced errors by 60 to 10 and the time for loading a plan from 33 minutes to 10 minutes   Design and Implement Evidence of Insurability EOI process flow that enables customers to submit their EOI forms to Zenefits and Insurance Carrier electronically instead of faxing or mailing paperwork saving on operational overhead  Communicate with Guardian Humana and Aetna to build a Data Injection Tool that retrieves the Insurance data from Carriers electronically which reduces the service cost and errors for the company  Build internal Life and Disability Insurance Quoting Tools which enables the Account Manager and Benefits Advisor to choose the best and most suitable insurance Tool for customer from stocked insurance plans  Effectively utilize front end development with client side validation middle tier development and back end management ,Amazon Web Services,Software Development Engineer Intern, Amazon Elastic MapReduce (EMR), Employed exceptional programming skills to complete a web based log analysis automation tool  Deployed the tool to the production stage with the project completed on time and under budget to exceed expectations  Supported programming changes during quality assurance user acceptance testing and post implementation  ,Central South University,Research And Teaching Assistant, Promoted to positions of increasing authority and responsibility because of strong leadership skills and overall performance   Implemented and compared multiple state of the art visual saliency models formulating a fresh  frequency based model ,0,0,0,University of Southern California,Master of Science (M.S.),2,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Columbia University in the City of New York,Master’s Degree,3,
Snapchat  Inc.,Software Engineer,Software Developer at Snapchat Inc May 2015   August 2015  4 months ,Snapchat  Inc.,Software Developer,Web DataBase Applications Architect at NVIDIA September 2014   December 2014  4 months ,Base Applications Architect at NVIDIA,Web/, Wrote both the UI and the REST end points which allows the user to perform GET POST PUT  DELETE operation on any given URL and produce the data in a tabular format  Implemented dynamic package filtering for the REST Api enabling it to send only requested attributes in json as indicated in the url by adding include  attribute include  attribute  Found and fixed behavioral and architectural issues in both UI and the back end  Created a new web UI for DataStore in order to provide a modern UI experience while making the code more maintainable and testable by using Ember to enforce MVC architecture on the app  Languages used CoffeScript Java JavaScript HTML5 and CSS  Learned and used tools like Ember Ember cli BootStrap Npm Bower Jackson Maven and Perforce  ,Autodesk Inc.,Software Developer - Cloud, Created a REST end point which produced a JSON of change logs for a workspace the language used was Java in conjunction with Hibernate Spring Jersey framework and PostgreSQL database  Prototyped and designed both the front end UI and back end database component for script versioning capability by integrating git into the product  Prototyped intellisense for JavaScript specific to PLM and after business approval integrated it into the product will be soon released for customer use  Tackled and solved problems related to code scalability and concurrency via reflection and advance blocking feature in Java  Languages used Java Javascript SQL HTML and CSS  Learned and used tools like tomcat spring hibernate JSP JSON Jira Jenkins gradle and git ,Embotics Inc.,Java Software Developer,  Used Java in combination with Hibernate and PostgreSQL to extract and analyze information from the database in order to output a processed snapshot of the data in an XML file  Wrote custom XSL XSL FO code to process the XML file to produce html pdf csv file  Prototyped and then integrated in vCommander Embotics product  the ability to generate pdfs from XML and the abilities to download Email or schedule to auto generate and Email the pdf file  Languages used Java HTML CSS and XSL  Learned and used ant tomcat spring hibernate JSP XML Jenkins and git ,University of Waterloo,Bachelor of Computer Science,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,University of Michigan,BS,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,University of California San Diego  Jacobs School of Engineering,Master's degree,1,
Microsoft,Software Engineer 2,Office 365 Groups team ,eBay,Software Engineer 2,eBay marketplace ,Amazon,Software Engineer,SDE in E commercial platform ,0,0,0,0,0,0,Columbia University in the City of New York,Master’s Degree,3,
Snapchat  Inc.,Software Engineer,1 Low Power Mode iOS Android 2 Stories loading animation iOS 3 Spectacle Crash Reporter iOS Android 4 Spectacle Firmware Update Service Backend part of Frontend iOS Android 5 Drove down the Snapchat s disk size by finding abusive usage iOS 6 Changed the architecture of Snapchat s caching layer iOS 7 Designed the File Persistent Store Architecture and APIs ,Bungie,Software Engineer, Owner of global variables management system   Refactored the overall architecture to prevent potential memory leak issues   Simplified user interfaces regarding memory handles   Refactored multi threading protection for dereferencing memory  Owner of datum arrays management system   Refactored the code to clean up the data structure redundancy and improve manageability  Co owner of multi threading protection system   Refactored the multi threading protection system to set the flags to detect multi threaded access on shared variables   Refactored parts of the code to add bit manipulation for performance improvements  Co owner of async file system   Fixed bugs in async file system with sync async modes switch   Implemented unit tests and stress tests ,Avaya,Software Engineer (Intern), Avaya Client   Prototyped an encrypted communication protocol using a hybrid of TCP and UDP protocols   Implemented server side using Java client side using C  C WPF and database with MySQL   Designed the architecture that manages the communication among telephony service servers  SPOT Dashboard Data Visualization ,Northeastern University,Research Assistant, Power SVG Shop   Implemented the library that can parse SVG file using C   Generated scenes that can transform the 2D SVG pictures into 3D models in Unity3D   Designed and developed script system for generating the meshes ,EMC,Software Engineer Intern,  Adding new features to the internal Core Library  Developed automated test applications for storage platform systems using C  XML C  and Python  Developed new software engineering methods or processes and re evaluated existing ones  Designed simulation test criteria and verifies functionality ,Northeastern University,Master of Science (M.S.),1,
